0,7 | 0,1635263998 | 1635263998s
7,6 | 1635263998,1635264000 | 2s
6,7 | 1635264000,1635264009 | 9s
7,6 | 1635264009,1635264018 | 9s
6,7 | 1635264018,1635264027 | 9s
7,6 | 1635264036,1635264039 | 3s
6,7 | 1635264039,1635264048 | 9s
7,6 | 1635264048,1635264058 | 10s
6,7 | 1635264067,1635264070 | 3s
7,6 | 1635264070,1635264079 | 9s
6,7 | 1635264079,1635264088 | 9s
7,6 | 1635264088,1635264097 | 9s
6,7 | 1635264097,1635264106 | 9s
7,6 | 1635264106,1635264115 | 9s
6,7 | 1635264115,1635264124 | 9s
7,6 | 1635264124,1635264133 | 9s
6,7 | 1635264133,1635264142 | 9s
7,6 | 1635264142,1635264151 | 9s
6,7 | 1635264151,1635264160 | 9s
7,6 | 1635264160,1635264170 | 10s
6,7 | 1635264170,1635264179 | 9s
